CAS,pubchem_cid,chebi_id,preferred_name,iupac_name,molecular_formula,molecular_weight,isomeric_smiles,canonical_smiles,inchi,inchikey,xlogp,tpsa,synonyms,cas_queried,cas_class,cas_repairs
56390-09-01,65348,CHEBI:232543,Epirubicin Hydrochloride,"(7S,9S)-7-[(2R,4S,5R,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione;hydrochloride",C27H30ClNO11,580.0,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,"InChI=1S/C27H29NO11.ClH/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34;/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3;1H/t10-,13-,15-,17-,22-,27-;/m0./s1",MWWSFMDVAYGXBV-FGBSZODSSA-N,,206,"Epirubicin hydrochloride | 56390-09-1 | Epirubicin HCl | Farmorubicina | IMI-28 | NSC-759195 | WP-697 | 22966TX7J5 | DTXSID50860297 | 5,12-Naphthacenedione, 10-((3-amino-2,3,6-trideoxy-alpha-L-arabino-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-, hydrochloride, (8S-cis)- | Pharmorubicin Pfs | RefChem:55118 | Hydrochloride, Epirubicin | IMI28 | DTXCID001475450 | (2S,4S)-4-(3-Amino-2,3,6-trideoxy-alpha-L-arabino-hexopyranosyloxy)-2,5,12-trihydroxy-2-hydroxyacetyl-7-methoxy-1,2,3,4-tetrahydrotetracene-6,11-dione monohydrochloride | (8S-cis)-10-((3-Amino-2,3,6-trideoxy-beta-L-arabino-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione Hydrochloride | 3-Glycoloyl-1,2,3,4,6,11-hexahydro-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1-naphthacenyl-3-amino-2,3,6-trideoxy-alpha-L-arabino-hexopyranoside Hydrochloride | Ellence | MFCD00941448",56390-09-1,valid,zero_padded_check_digit
56420-45-2,41867,CHEBI:47898,Epirubicin,"(7S,9S)-7-[(2R,4S,5R,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",C27H29NO11,543.5,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,"InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3/t10-,13-,15-,17-,22-,27-/m0/s1",AOJJSUZBOXZQNB-VTZDEGQISA-N,1.3,206,Epirubicin | 56420-45-2 | Epiadriamycin | Epidoxorubicin | 4'-Epiadriamycin | Epirubicine | 4'-epidoxorubicin | Epirubicina | Ridorubicin | Epirubicinum | Pidorubicina | Pidorubicine | Pidorubicinum | Farmorubicin | Epirubicinum [Latin] | Pidorubicin | IMI 28 | NSC-256942 | 4'-epi-Doxorubicin | NSC 256942,56420-45-2,valid,
2157-24-6,12841412,,Bis(3-aminopropyl) Ether,3-(3-aminopropoxy)propan-1-amine,C6H16N2O,132.20,C(CN)COCCCN,C(CN)COCCCN,InChI=1S/C6H16N2O/c7-3-1-5-9-6-2-4-8/h1-8H2,KRPRVQWGKLEFKN-UHFFFAOYSA-N,-1.1,61.3,"Bis(3-aminopropyl) Ether | RefChem:568849 | 677-979-1 | 2157-24-6 | 3,3'-Oxybis(propan-1-amine) | 3-(3-aminopropoxy)propan-1-amine | Bis(3-aminopropyl)ether | MFCD00059961 | 3,3'-Oxydi(propylamine) | CHEMBL29910 | 1-Propanamine, 3,3'-oxybis- | 1-Propanamine,3,3'-oxybis- | 3,3'-Oxybis(1-propanamine) | 3-(3-aminopropoxy)propylamine | aminopropyl ether | bisaminopropylether | 1,7-diamino-4-oxaheptane | SCHEMBL64659 | 3,3''-Oxybis-1-propanamine | Bis(3-aminopropyl) Ether &gt",2157-24-6,valid,
34157-83-0,122724,CHEBI:63959,Celastrol,"(2R,4aS,6aR,6aS,14aS,14bR)-10-hydroxy-2,4a,6a,6a,9,14a-hexamethyl-11-oxo-1,3,4,5,6,13,14,14b-octahydropicene-2-carboxylic acid",C29H38O4,450.6,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C)O,CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C)O,"InChI=1S/C29H38O4/c1-17-18-7-8-21-27(4,19(18)15-20(30)23(17)31)12-14-29(6)22-16-26(3,24(32)33)10-9-25(22,2)11-13-28(21,29)5/h7-8,15,22,31H,9-14,16H2,1-6H3,(H,32,33)/t22-,25-,26-,27+,28-,29+/m1/s1",KQJSQWZMSAGSHN-JJWQIEBTSA-N,5.9,74.6,"celastrol | 34157-83-0 | Tripterin | Tripterine | (2R,4aS,6aS,12bR,14aS,14bR)-10-hydroxy-2,4a,6a,9,12b,14a-hexamethyl-11-oxo-1,2,3,4,4a,5,6,6a,11,12b,13,14,14a,14b-tetradecahydropicene-2-carboxylic acid | (2R,4aS,6aR,6aS,14aS,14bR)-10-hydroxy-2,4a,6a,6a,9,14a-hexamethyl-11-oxo-1,3,4,5,6,13,14,14b-octahydropicene-2-carboxylic acid | CHEBI:63959 | L8GG98663L | NSC-70931 | DTXSID2040993 | D:A-Friedo-24-noroleana-1(10),3,5,7-tetraen-29-oic acid, 3-hydroxy-2-oxo-, (20alpha)- | 3-Hydroxy-24-nor-2-oxo-1(10),3,5,7-friedelatetraen-29-oic Acid | RefChem:124284 | DTXCID0020993 | MFCD03424073 | Celastrol (>85%) | NSC70931 | Spectrum4_001966 | BSPBio_001905 | MLS002701906",34157-83-0,valid,
51264-14-3,2179,CHEBI:2687,Amsacrine,N-[4-(acridin-9-ylamino)-3-methoxyphenyl]methanesulfonamide,C21H19N3O3S,393.5,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,"InChI=1S/C21H19N3O3S/c1-27-20-13-14(24-28(2,25)26)11-12-19(20)23-21-15-7-3-5-9-17(15)22-18-10-6-4-8-16(18)21/h3-13,24H,1-2H3,(H,22,23)",XCPGHVQEEXUHNC-UHFFFAOYSA-N,4,88.7,amsacrine | 51264-14-3 | Amsidine | m-AMSA | Amsidyl | Acridinylanisidide | Lamasine | Amekrin | Amsacrina | Acridinyl Anisidide | mAMSA | AMSA | Amsacrinum | 4'-(9-Acridinylamino)methanesulfon-m-anisidide | amsidil | SN-11841 | 4'-(9-Acridinylamino)-3'-methoxymethanesulfonanilide | 4'-(9-Acridinylamino)methanesulphon-m-anisidide | CI-880 | NSC-249992,51264-14-3,valid,
718630-59-2,46191454,CHEBI:91371,Pha-793887,"N-[6,6-dimethyl-5-(1-methylpiperidine-4-carbonyl)-1,4-dihydropyrrolo[3,4-d]pyrazol-3-yl]-3-methylbutanamide",C19H31N5O2,361.5,CC(C)CC(=O)NC1=NNC2=C1CN(C2(C)C)C(=O)C3CCN(CC3)C,CC(C)CC(=O)NC1=NNC2=C1CN(C2(C)C)C(=O)C3CCN(CC3)C,"InChI=1S/C19H31N5O2/c1-12(2)10-15(25)20-17-14-11-24(19(3,4)16(14)21-22-17)18(26)13-6-8-23(5)9-7-13/h12-13H,6-11H2,1-5H3,(H2,20,21,22,25)",HUXYBQXJVXOMKX-UHFFFAOYSA-N,1,81.3,"PHA-793887 | 718630-59-2 | N-(6,6-dimethyl-5-(1-methylpiperidine-4-carbonyl)-1,4,5,6-tetrahydropyrrolo[3,4-c]pyrazol-3-yl)-3-methylbutanamide | PHA 793887 | MKS45S912B | DTXSID50222134 | Butanamide, 3-methyl-N-(1,4,5,6-tetrahydro-6,6-dimethyl-5-((1-methyl-4-piperidinyl)carbonyl)pyrrolo(3,4-C)pyrazol-3-yl)- | Butanamide, 3-methyl-N-[1,4,5,6-tetrahydro-6,6-dimethyl-5-[(1-methyl-4-piperidinyl)carbonyl]pyrrolo[3,4-c]pyrazol-3-yl]- | N-(6,6-Dimethyl-5-(1-methylpiperidine-4-carbonyl)-1,4,5,6-tetrahydropyrrolo(3,4-C)pyrazol-3-yl)-3-methylbutanamide | N-[6,6-Dimethyl-5-(1-methylpiperidine-4-carbonyl)-1,4,5,6-tetrahydropyrrolo[3,4-c]pyrazol-3-yl]-3-methylbutanamide | PHA793887 | RefChem:172367 | DTXCID50144625 | N-(6,6-dimethyl-5-(1-methylpiperidine-4-carbonyl)-1H,4H,5H,6H-pyrrolo(3,4-c)pyrazol-3-yl)-3-methylbutanamide | 3-Methyl-N-[1,4,5,6-tetrahydro-6,6-dimethyl-5-[(1-methyl-4-piperidinyl)carbonyl]pyrrolo[3,4-c]pyrazol-3-yl]butanamide | MFCD17169992 | N-[6,6-dimethyl-5-(1-methylpiperidine-4-carbonyl)-1,4-dihydropyrrolo[3,4-c]pyrazol-3-yl]-3-methylbutanamide | CHEMBL1230607 | N-{6,6-Dimethyl-5-[(1-methylpiperidin-4-yl)carbonyl]-1,4,5,6-tetrahydropyrrolo[3,4-c]pyrazol-3-yl}-3-methylbutanamide | C19H31N5O2",718630-59-2,valid,
70288-86-7,,,,,,,,,,,,,,70288-86-7,valid,
35943-35-2,65399,CHEBI:65310,Triciribine,"(2R,3R,4S,5R)-2-(5-amino-7-methyl-2,6,7,9,11-pentazatricyclo[6.3.1.04,12]dodeca-1(12),3,5,8,10-pentaen-2-yl)-5-(hydroxymethyl)oxolane-3,4-diol",C13H16N6O4,320.30,CN1C2=NC=NC3=C2C(=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C(=N1)N,CN1C2=NC=NC3=C2C(=CN3C4C(C(C(O4)CO)O)O)C(=N1)N,"InChI=1S/C13H16N6O4/c1-18-11-7-5(10(14)17-18)2-19(12(7)16-4-15-11)13-9(22)8(21)6(3-20)23-13/h2,4,6,8-9,13,20-22H,3H2,1H3,(H2,14,17)/t6-,8-,9-,13-/m1/s1",HOGVTUZUJGHKPL-HTVVRFAVSA-N,-1.6,142,"Triciribine | 35943-35-2 | Pentaazacentopthylene | Triciribina | Triciribinum | NSC 154020 | NSC-154020 | 2421HMY9N6 | 1,4,5,6,8-Pentaazaacenaphthylen-3-amine, 1,5-dihydro-5-methyl-1-beta-D-ribofuranosyl- | CHEBI:65310 | 3-Amino-1,5-dihydro-5-methyl-1-beta-D-ribofuranosyl-1,4,5,6,8-pentaazaacenaphthylene | 5-methyl-1-(beta-D-ribofuranosyl)-1,5-dihydro-1,4,5,6,8-pentaazaacenaphthylen-3-amine | 6-ARPPP | RefChem:933360 | 6-amino-4-methyl-8-(beta-D-ribofuranosyl)-(4H,8H)pyrrolo(4,3,2-de)pyrimido(4,5-c)pyridazine | 2-(5-amino-7-methyl-2,6,7,9,11-pentaazatricyclo(6.3.1.0^(4,12))dodeca-1(12),3,5,8,10-pentaen-2-yl)-5-(hydroxymethyl)oxolane-3,4-diol | 3-amino-1,5-dihydro-5-methyl-I-beta-D-ribofuranosyl-1,4,5,6,8-pentaazaacenaphthylene | Tricirbine | Tricyclic nucleoside | Triciribine [INN]",35943-35-2,valid,
148-82-3,460612,CHEBI:28876,Melphalan,(2S)-2-amino-3-[4-[bis(2-chloroethyl)amino]phenyl]propanoic acid,C13H18Cl2N2O2,305.20,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,"InChI=1S/C13H18Cl2N2O2/c14-5-7-17(8-6-15)11-3-1-10(2-4-11)9-12(16)13(18)19/h1-4,12H,5-9,16H2,(H,18,19)/t12-/m0/s1",SGDBTWWWUNNDEQ-LBPRGKRZSA-N,-0.5,66.6,melphalan | 148-82-3 | Melfalan | L-Sarcolysine | L-PAM | Phenylalanine mustard | L-Phenylalanine mustard | L-Sarcolysin | Levofalan | L-Sarkolysin | p-L-Sarcolysin | Levofolan | Levopholan | 4-[Bis(2-chloroethyl)amino]-L-phenylalanine | Melphalanum | Melfalano | Phenylalanine nitrogen mustard | CB 3025 | p-Di-(2-chloroethyl)amino-L-phenylalanine | NCI-C04853,148-82-3,valid,
9041-93-4,71587153,,Bleomycin Sulfate,"3-[[2-[2-[2-[[(2S,3R)-2-[[(2S,3S,4R)-4-[[(2S,3R)-2-[[6-amino-2-[(1S)-3-amino-1-[[(2S)-2,3-diamino-3-oxopropyl]amino]-3-oxopropyl]-5-methylpyrimidine-4-carbonyl]amino]-3-[(2R,3S,4S,5S,6S)-3-[(2R,3S,4S,5R,6R)-4-carbamoyloxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-(1H-imidazol-5-yl)propanoyl]amino]-3-hydroxy-2-methylpentanoyl]amino]-3-hydroxybutanoyl]amino]ethyl]-1,3-thiazol-4-yl]-1,3-thiazole-4-carbonyl]amino]propyl-dimethylsulfanium;sulfuric acid",C55H86N17O25S4+,1513.6,CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)O[C@H]3[C@H]([C@H]([C@@H]([C@@H](O3)CO)O)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O.OS(=O)(=O)O,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O.OS(=O)(=O)O,"InChI=1S/C55H83N17O21S3.H2O4S/c1-20-33(69-46(72-44(20)58)25(12-31(57)76)64-13-24(56)45(59)82)50(86)71-35(41(26-14-61-19-65-26)91-54-43(39(80)37(78)29(15-73)90-54)92-53-40(81)42(93-55(60)88)38(79)30(16-74)89-53)51(87)66-22(3)36(77)21(2)47(83)70-34(23(4)75)49(85)63-10-8-32-67-28(18-94-32)52-68-27(17-95-52)48(84)62-9-7-11-96(5)6;1-5(2,3)4/h14,17-19,21-25,29-30,34-43,53-54,64,73-75,77-81H,7-13,15-16,56H2,1-6H3,(H13-,57,58,59,60,61,62,63,65,66,69,70,71,72,76,82,83,84,85,86,87,88);(H2,1,2,3,4)/p+1/t21-,22+,23+,24-,25-,29-,30+,34-,35-,36-,37+,38+,39-,40-,41-,42-,43-,53+,54-;/m0./s1",WUIABRMSWOKTOF-OYALTWQYSA-O,,768,"Bleomycin sulfate | 9041-93-4 | Blexane | Bleomycin sulphate | Bleolem | BleMomycine | Bleomycin, sulfate (salt) | 7DP3NTV15T | Bleomycin Sulfas | Bleomycini sulfas | BLEOcell | DTXSID2047800 | Oil Bleo | Bleomycins sulfate | BLEO cell | BLEO-cell | Bleo-S | Sulfate, Bleomycin | RefChem:54551 | CHEBI:34582",9041-93-4,valid,
59865-13-3,5284373,CHEBI:4031,Cyclosporin A,"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-ethyl-33-[(E,1R,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone",C62H111N11O12,1202.6,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,"InChI=1S/C62H111N11O12/c1-25-27-28-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-48(74)68(19)44(29-34(3)4)55(78)66-49(38(11)12)61(84)69(20)45(30-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(31-36(7)8)59(82)71(22)47(32-37(9)10)60(83)72(23)50(39(13)14)62(85)73(51)24/h25,27,34-47,49-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+/t40-,41+,42-,43+,44+,45+,46+,47+,49+,50+,51+,52-/m1/s1",PMATZTZNYRCHOR-CGLBZJNRSA-N,7.5,279,cyclosporin A | Ciclosporin | cyclosporine | 59865-13-3 | Sandimmune | Neoral | Sandimmun | Cyclosporine A | Ciclosporine | Neoplanta | Equoral | Gengraf | Ciclosporina | Ciclosporinum | Sang-35 | Ciclosporin A | Sandimmun Neoral | Zinograf ME | Consupren | Mitogard,59865-13-3,valid,
1032900-25-6,57379345,CHEBI:78432,Ceritinib,"5-chloro-2-N-(5-methyl-4-piperidin-4-yl-2-propan-2-yloxyphenyl)-4-N-(2-propan-2-ylsulfonylphenyl)pyrimidine-2,4-diamine",C28H36ClN5O3S,558.1,CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl,CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl,"InChI=1S/C28H36ClN5O3S/c1-17(2)37-25-15-21(20-10-12-30-13-11-20)19(5)14-24(25)33-28-31-16-22(29)27(34-28)32-23-8-6-7-9-26(23)38(35,36)18(3)4/h6-9,14-18,20,30H,10-13H2,1-5H3,(H2,31,32,33,34)",VERWOWGGCGHDQE-UHFFFAOYSA-N,6.4,114,"ceritinib | 1032900-25-6 | LDK378 | ZYKADIA | LDK-378 | NVP-LDK378-NX | LDK 378 | 5-chloro-N2-(2-isopropoxy-5-methyl-4-(piperidin-4-yl)phenyl)-N4-(2-(isopropylsulfonyl)phenyl)pyrimidine-2,4-diamine | K418KG2GET | ceritinibum | NVP-LDK-378-NX | 5-chloro-2-N-(5-methyl-4-piperidin-4-yl-2-propan-2-yloxyphenyl)-4-N-(2-propan-2-ylsulfonylphenyl)pyrimidine-2,4-diamine | CHEBI:78432 | DTXSID10725373 | 2,4-Pyrimidinediamine, 5-chloro-N4-(2-((1-methylethyl)sulfonyl)phenyl)-N2-(5-methyl-2-(1-methylethoxy)-4-(4-piperidinyl)phenyl)- | 5-Chloro-N2-(5-methyl-4-(piperidin-4-yl)-2-(propan-2-yloxy)phenyl)-N4-(2-(propane-2-sulfonyl)phenyl)pyrimidine-2,4-diamine | 5-chloro-N2-[5-methyl-4-(piperidin-4-yl)-2-(propan-2-yloxy)phenyl]-N4-[2-(propane-2-sulfonyl)phenyl]pyrimidine-2,4-diamine | RefChem:57924 | DTXCID50676118 | L01XE28",1032900-25-6,valid,
19545-26-7,312145,CHEBI:52289,Wortmannin,"[(1R,3R,5S,9R,18S)-18-(methoxymethyl)-1,5-dimethyl-6,11,16-trioxo-13,17-dioxapentacyclo[10.6.1.02,10.05,9.015,19]nonadeca-2(10),12(19),14-trien-3-yl] acetate",C23H24O8,428.4,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C,"InChI=1S/C23H24O8/c1-10(24)30-13-7-22(2)12(5-6-14(22)25)16-18(13)23(3)15(9-28-4)31-21(27)11-8-29-20(17(11)23)19(16)26/h8,12-13,15H,5-7,9H2,1-4H3/t12-,13+,15+,22-,23-/m0/s1",QDLHCMPXEPAAMD-QAIWCSMKSA-N,1.2,109,"wortmannin | 19545-26-7 | Wartmannin | Antibiotic SL-2052 | SL-2052 | XVA4O219QW | NSC221019 | DTXSID8040642 | NSC-627609 | CHEBI:52289 | NSC627609 | (1S,6bR,9aS,11R,11bR)-11-(Acetyloxy)-1,6b,7,8,9a,10,11,11b-octahydro-1-(methoxymethyl)-9a,11b-dimethyl-3H-furo[4,3,2-de]indeno[4,5-h]-2-benzopyran-3,6,9-trione | [(1R,3R,5S,9R,18S)-18-(methoxymethyl)-1,5-dimethyl-6,11,16-trioxo-13,17-dioxapentacyclo[10.6.1.02,10.05,9.015,19]nonadeca-2(10),12(19),14-trien-3-yl] acetate | (1S,6bR,9aS,11R,11bR)-9a,11b-dimethyl-1-[(methyloxy)methyl]-3,6,9-trioxo-1,6,6b,7,8,9,9a,10,11,11b-decahydro-3H-furo[4,3,2-de]indeno[4,5-h]isochromen-11-yl acetate | MS54 | MS-54 | ((1R,3R,5S,9R,18S)-18-(methoxymethyl)-1,5-dimethyl-6,11,16-trioxo-13,17-dioxapentacyclo(10.6.1.02,10.05,9.015,19)nonadeca-2(10),12(19),14-trien-3-yl) acetate | (1S,6bR,9aS,11R,11bR)-11-(Acetyloxy)-1,6b,7,8,9a,10,11,11b-octahydro-1-(methoxymethyl)-9a,11b-dimethyl-3H-furo(4,3,2-de)indeno(4,5-h)-2-benzopyran-3,6,9-trione | (1S,6bR,9aS,11R,11bR)-9a,11b-dimethyl-1-((methyloxy)methyl)-3,6,9-trioxo-1,6,6b,7,8,9,9a,10,11,11b-decahydro-3H-furo(4,3,2-de)indeno(4,5-h)isochromen-11-yl acetate | RefChem:389363",19545-26-7,valid,
896466-04-9,135398495,CHEBI:125514,At-9283,1-cyclopropyl-3-[5-[6-(morpholin-4-ylmethyl)-1H-benzimidazol-2-yl]-1H-pyrazol-4-yl]urea,C19H23N7O2,381.4,C1CC1NC(=O)NC2=C(NN=C2)C3=NC4=C(N3)C=C(C=C4)CN5CCOCC5,C1CC1NC(=O)NC2=C(NN=C2)C3=NC4=C(N3)C=C(C=C4)CN5CCOCC5,"InChI=1S/C19H23N7O2/c27-19(21-13-2-3-13)24-16-10-20-25-17(16)18-22-14-4-1-12(9-15(14)23-18)11-26-5-7-28-8-6-26/h1,4,9-10,13H,2-3,5-8,11H2,(H,20,25)(H,22,23)(H2,21,24,27)",LOLPPWBBNUVNQZ-UHFFFAOYSA-N,0.5,111,"896466-04-9 | AT9283 | AT-9283 | AT 9283 | XAV9KYN9WL | AT 9283 [WHO-DD] | Urea, N-cyclopropyl-N'-(3-(6-(4-morpholinylmethyl)-1H-benzimidazol-2-yl)-1H-pyrazol-4-yl)- | 1-cyclopropyl-3-[(3Z)-3-[5-(morpholin-4-ylmethyl)benzimidazol-2-ylidene]-1,2-dihydropyrazol-4-yl]urea | 1-cyclopropyl-3-((3Z)-3-(5-(morpholin-4-ylmethyl)benzimidazol-2-ylidene)-1,2-dihydropyrazol-4-yl)urea | Urea, N-cyclopropyl-N'-[3-[6-(4-morpholinylmethyl)-1H-benzimidazol-2-yl]-1H-pyrazol-4-yl]- | RefChem:560290 | Multikinase Inhibitor AT9283 | Aurora kinase inhibitor AT9283 | 1133385-83-7 | 1-Cyclopropyl-3-(3-(5-(morpholinomethyl)-1H-benzo[d]imidazol-2-yl)-1H-pyrazol-4-yl)urea | AT-9283 free base | MFCD12031513 | HMS3244P09 | HMS3673I15 | NSC799339",896466-04-9,valid,
336113-53-2,6851740,CHEBI:94692,Ispinesib,N-(3-aminopropyl)-N-[(1R)-1-(3-benzyl-7-chloro-4-oxoquinazolin-2-yl)-2-methylpropyl]-4-methylbenzamide,C30H33ClN4O2,517.1,CC1=CC=C(C=C1)C(=O)N(CCCN)[C@@H](C2=NC3=C(C=CC(=C3)Cl)C(=O)N2CC4=CC=CC=C4)C(C)C,CC1=CC=C(C=C1)C(=O)N(CCCN)C(C2=NC3=C(C=CC(=C3)Cl)C(=O)N2CC4=CC=CC=C4)C(C)C,"InChI=1S/C30H33ClN4O2/c1-20(2)27(34(17-7-16-32)29(36)23-12-10-21(3)11-13-23)28-33-26-18-24(31)14-15-25(26)30(37)35(28)19-22-8-5-4-6-9-22/h4-6,8-15,18,20,27H,7,16-17,19,32H2,1-3H3/t27-/m1/s1",QJZRFPJCWMNVAV-HHHXNRCGSA-N,5.3,79,"Ispinesib | 336113-53-2 | SB-715992 | BKT5F9C2NI | SB715992 | DTXSID20187307 | n-(3-aminopropyl)-n-[(1r)-1-(3-benzyl-7-chloro-4-oxo-3,4-dihydroquinazolin-2-yl)-2-methylpropyl]-4-methylbenzamide | ispinesibum | N-(3-aminopropyl)-N-((1R)-1-(3-benzyl-7-chloro-4-oxo-3,4-dihydroquinazolin-2-yl)-2-methylpropyl)-4-methylbenzamide | RefChem:150176 | DTXCID90109798 | NSC727990 | Ispinesib (SB-715992) | Ispinesib [INN] | SB 715992 | UNII-BKT5F9C2NI | (R)-N-(3-aminopropyl)-N-(1-(3-benzyl-7-chloro-4-oxo-3,4-dihydroquinazolin-2-yl)-2-methylpropyl)-4-methylbenzamide | MFCD22628831 | N-(3-aminopropyl)-N-[(1R)-1-(3-benzyl-7-chloro-4-oxoquinazolin-2-yl)-2-methylpropyl]-4-methylbenzamide | N-(3-Aminopropyl)-N-[(1R)-1-[7-chloro-3,4-dihydro-4-oxo-3-(phenylmethyl)-2-quinazolinyl]-2-methylpropyl]-4-methylbenzamide",336113-53-2,valid,
